"Obs","Price","SqFt","BedRooms","Baths","Garage","Zip"
303,149900,3027,4,3,2,6
304,154000,3004,3,2,2,9
305,154000,2650,4,2.5,2,5
306,154900,1869,4,2.5,2,6
307,155900,2400,4,2.5,2,6
308,156000,1778,3,2.5,2,9
309,156500,1733,3,2,2,5
310,156900,1808,4,2.5,2,6
311,157000,1975,4,2.5,2,6
312,157000,2028,4,2.5,2,5
313,158900,2000,4,2.5,2,6
314,159000,2000,4,2.5,2,6
315,159500,1755,3,2,2,6
316,159500,2059,4,2.5,2,9
317,159900,1864,4,2,2,6
318,159900,2248,4,2.5,2,6
319,159900,1870,3,2.5,2,6
320,159900,1998,3,2.5,2,9
321,159900,2029,3,2,2,5
322,159900,1940,3,2.5,2,5
323,163900,2157,5,3,2,6
324,164900,1674,2,2,2,6
325,165000,2500,3,3,2,6
326,165000,2128,4,2.5,2,5
327,165900,1940,3,1.5,2,9
328,165900,1872,4,2.5,2,5
329,166900,2078,3,2.5,2,9
330,166900,1794,3,2.5,2,6
331,167500,1940,4,2,2,6
332,168000,1748,3,2.5,2,5
333,168900,1907,4,1.5,2,5
334,168900,2100,3,2.5,2,5
335,169900,2100,4,2.5,2,5
336,169900,2150,4,2.5,2,9
337,169900,2209,4,2,2,6
338,169900,1852,3,3,2,9
